addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
160,Kendal Drive,,227,Lexington,VA,24450,37.7809903,-79.45915929,,,
434,Flat Woods Road,,,Lexington,VA,24450,37.7809908,-79.55884412,,,
44,Nash Lane,,,Lexington,VA,24450,37.78099679,-79.60506629,,,
130,Springlot Drive,,1011,Lexington,VA,24450,37.78099734,-79.45857231,,,
160,Kendal Drive,,226,Lexington,VA,24450,37.78099841,-79.45920098,,,
160,Kendal Drive,,121,Lexington,VA,24450,37.78099871,-79.45954433,,,
160,Kendal Drive,,225,Lexington,VA,24450,37.78100119,-79.4592368,,,
835,Spring Valley Road,,,Lexington,VA,24450,37.78100219,-79.51002362,,,
160,Kendal Drive,,224,Lexington,VA,24450,37.78100932,-79.45927656,,,
160,Kendal Drive,,119,Lexington,VA,24450,37.78101338,-79.45962963,,,
160,Kendal Drive,,223,Lexington,VA,24450,37.78101593,-79.4593134,,,
130,Springlot Drive,,1012,Lexington,VA,24450,37.78102102,-79.45849137,,,
160,Kendal Drive,,222,Lexington,VA,24450,37.78102402,-79.45935702,,,
160,Kendal Drive,,117,Lexington,VA,24450,37.78102583,-79.45970426,,,
160,Kendal Drive,,221,Lexington,VA,24450,37.78102982,-79.45939868,,,
35,Nash Lane,,,Lexington,VA,24450,37.78103809,-79.60467264,,,
160,Kendal Drive,,220,Lexington,VA,24450,37.78103948,-79.45943846,,,
160,Kendal Drive,,115,Lexington,VA,24450,37.78104127,-79.45978763,,,
160,Kendal Drive,,219,Lexington,VA,24450,37.78104913,-79.45948017,,,
140,Green Lane,,,Lexington,VA,24450,37.78105033,-79.6215501,,,
160,Kendal Drive,,218,Lexington,VA,24450,37.78105188,-79.45951986,,,
160,Kendal Drive,,324,Lexington,VA,24450,37.78105879,-79.45932845,,,
160,Kendal Drive,,217,Lexington,VA,24450,37.78106,-79.45955962,,,
160,Kendal Drive,,322,Lexington,VA,24450,37.78106609,-79.45937497,,,
160,Kendal Drive,,216,Lexington,VA,24450,37.78106657,-79.45960129,,,
160,Kendal Drive,,215,Lexington,VA,24450,37.78107542,-79.45964686,,,
160,Kendal Drive,,321,Lexington,VA,24450,37.78107726,-79.45941864,,,
160,Kendal Drive,,214,Lexington,VA,24450,37.78108352,-79.45968856,,,
160,Kendal Drive,,320,Lexington,VA,24450,37.78108684,-79.45946808,,,
160,Kendal Drive,,213,Lexington,VA,24450,37.78109163,-79.45973025,,,
160,Kendal Drive,,319,Lexington,VA,24450,37.78109494,-79.45950978,,,
160,Kendal Drive,,212,Lexington,VA,24450,37.78109819,-79.45977385,,,
160,Kendal Drive,,316,Lexington,VA,24450,37.78110152,-79.45955145,,,
160,Kendal Drive,,211,Lexington,VA,24450,37.78110395,-79.45982035,,,
207,McCorkle Extension Drive,,,Lexington,VA,24450,37.78110468,-79.4300239,,,
160,Kendal Drive,,315,Lexington,VA,24450,37.78110883,-79.45959603,,,
2319,Turnpike Road,,,Lexington,VA,24450,37.78111021,-79.56543948,,,
160,Kendal Drive,,313,Lexington,VA,24450,37.78111844,-79.45964161,,,
160,Kendal Drive,,312,Lexington,VA,24450,37.78112651,-79.4596891,,,
160,Kendal Drive,,311,Lexington,VA,24450,37.78113461,-79.4597308,,,
59,Sycamore Lane,,,Lexington,VA,24450,37.78114063,-79.4614508,,,
62,Sycamore Lane,,,Lexington,VA,24450,37.78115926,-79.46193796,,,
194,McCorkle Extension Drive,,,Lexington,VA,24450,37.78119212,-79.42956027,,,
