addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
1625,Stuartsburg Road,,,Buena Vista,VA,24416,37.78136669,-79.38952771,,,
55,Longview Meadow Drive,,,Buena Vista,VA,24416,37.78155316,-79.38697793,,,
601,Riverside Road,,,Buena Vista,VA,24416,37.78159595,-79.32719405,,,
2228,Old Buena Vista Road,,,Buena Vista,VA,24416,37.78181228,-79.35724146,,,
2329,Old Buena Vista Road,,,Buena Vista,VA,24416,37.78189766,-79.35209033,,,
1635,Stuartsburg Road,,,Buena Vista,VA,24416,37.78191877,-79.39018103,,,
305,Longview Meadow Drive,,,Buena Vista,VA,24416,37.78195679,-79.38266884,,,
1630,Stuartsburg Road,,,Buena Vista,VA,24416,37.78231532,-79.38920269,,,
499,South River Road,,,Buena Vista,VA,24416,37.78266391,-79.36070528,,,
1661,Stuartsburg Road,,2,Buena Vista,VA,24416,37.78274948,-79.39027077,,,
545,Riverside Road,,,Buena Vista,VA,24416,37.7827752,-79.32815878,,,
1661,Stuartsburg Road,,1,Buena Vista,VA,24416,37.78280505,-79.39022984,,,
35,Rootys Trail,,,Buena Vista,VA,24416,37.78282736,-79.32046387,,,
533,South River Road,,,Buena Vista,VA,24416,37.7828539,-79.35965949,,,
848,Stoney Run Road,,,Buena Vista,VA,24416,37.78287073,-79.32168455,,,
2158,Old Buena Vista Road,,,Buena Vista,VA,24416,37.78287981,-79.35861612,,,
1680,Stuartsburg Road,,,Buena Vista,VA,24416,37.78288543,-79.38860824,,,
541,South River Road,,,Buena Vista,VA,24416,37.782947,-79.35938051,,,
2187,Old Buena Vista Road,,,Buena Vista,VA,24416,37.78295191,-79.35731253,,,
857,Stoney Run Road,,,Buena Vista,VA,24416,37.7830593,-79.32294978,,,
2173,Old Buena Vista Road,,,Buena Vista,VA,24416,37.78306319,-79.35772724,,,
578,South River Road,,,Buena Vista,VA,24416,37.7832395,-79.35788364,,,
15,Rootys Trail,,,Buena Vista,VA,24416,37.78325091,-79.32102974,,,
525,Riverside Road,,,Buena Vista,VA,24416,37.78333917,-79.3275882,,,
622,South River Road,,,Buena Vista,VA,24416,37.78343169,-79.3567203,,,
515,Riverside Road,,,Buena Vista,VA,24416,37.78344374,-79.32900641,,,
30,Critter Lane,,,Buena Vista,VA,24416,37.78355908,-79.38806776,,,
