addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
10,George William Lane,,,Lexington,VA,24450,37.79469309,-79.40974074,,,
37,Merlin Lane,,,Lexington,VA,24450,37.79469622,-79.42695678,,,
205,West Denny Circle,,,Lexington,VA,24450,37.79470407,-79.44646513,,,
135,Bob Akins Circle,,,Lexington,VA,24450,37.79471958,-79.41491907,,,
985,Borden Road,,,Lexington,VA,24450,37.79476002,-79.4700383,,,
59,Hunter Hill Road,,,Lexington,VA,24450,37.79480688,-79.4263202,,,
196,Furrs Mill Road,,,Lexington,VA,24450,37.79482427,-79.43263454,,,
2,High Meadow Drive,,,Lexington,VA,24450,37.79485708,-79.43311848,,,
124,Brushy Hill Lane,,,Lexington,VA,24450,37.79485849,-79.47581456,,,
3689,Turnpike Road,,,Lexington,VA,24450,37.79487481,-79.60515472,,,
1093,Hayslette Road,,,Lexington,VA,24450,37.79491642,-79.63193409,,,
119,Hunter Hill Road,,,Lexington,VA,24450,37.79493366,-79.42805728,,,
47,Merlin Lane,,,Lexington,VA,24450,37.79493857,-79.42764533,,,
884,Borden Road,,,Lexington,VA,24450,37.79493948,-79.46454846,,,
125,Nicholas Lane,,,Lexington,VA,24450,37.79494127,-79.48368415,,,
659,Greenhouse Road,,,Lexington,VA,24450,37.79494275,-79.43125234,,,
200,Orchard Trace Drive,,,Lexington,VA,24450,37.79497546,-79.47417527,,,
656,Greenhouse Road,,,Lexington,VA,24450,37.79497865,-79.43169974,,,
159,West Denny Circle,,,Lexington,VA,24450,37.7950046,-79.44730977,,,
78,Bell Road,,,Lexington,VA,24450,37.79502096,-79.45790468,,,
65,Bob Akins Circle,,,Lexington,VA,24450,37.79508946,-79.41311805,,,
1,High Meadow Drive,,,Lexington,VA,24450,37.79509427,-79.43398434,,,
18,Merlin Lane,,,Lexington,VA,24450,37.79513035,-79.42714779,,,
139,Hunter Hill Road,,,Lexington,VA,24450,37.79513829,-79.42866895,,,
155,West Denny Circle,,,Lexington,VA,24450,37.79514552,-79.44850309,,,
147,Hunter Hill Road,,,Lexington,VA,24450,37.79520198,-79.42893731,,,
710,North Lee Highway,,,Lexington,VA,24450,37.79521384,-79.42293718,,,
3,River Place,,,Lexington,VA,24450,37.79523205,-79.43523542,,,
3470,Big Hill Road,,,Lexington,VA,24450,37.7952331,-79.60062057,,,
12,Osage Lane,,,Lexington,VA,24450,37.79525397,-79.45595048,,,
3,High Meadow Drive,,,Lexington,VA,24450,37.79525416,-79.43439011,,,
896,Borden Road,,,Lexington,VA,24450,37.79525599,-79.4653457,,,
13,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79530365,-79.42954199,,,
21,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79530474,-79.42985475,,,
4,River Place,,,Lexington,VA,24450,37.79532742,-79.43600746,,,
64,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79535168,-79.43113818,,,
29,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79536006,-79.43013287,,,
62,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79537738,-79.43119584,,,
1008,Hayslette Road,,,Lexington,VA,24450,37.79538555,-79.62909437,,,
766,North Lee Highway,,,Lexington,VA,24450,37.79538613,-79.41952166,,,
35,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79540225,-79.43034302,,,
264,Brushy Hill Lane,,,Lexington,VA,24450,37.79541505,-79.48089999,,,
4,High Meadow Drive,,,Lexington,VA,24450,37.79543059,-79.43304085,,,
41,Hunter Hill Extension Road,,,Lexington,VA,24450,37.7954616,-79.43058664,,,
378,Forest Grove Road,,,Lexington,VA,24450,37.7954734,-79.38276542,,,
900,Turnpike Road,,,Lexington,VA,24450,37.79547393,-79.52171896,,,
43,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79547792,-79.43064953,,,
760,North Lee Highway,,,Lexington,VA,24450,37.79549733,-79.4205281,,,
59,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79552656,-79.43088777,,,
1422,Enfield Road,,,Lexington,VA,24450,37.79553985,-79.48941965,,,
90,Sugar Maple Lane,,,Lexington,VA,24450,37.79556268,-79.60350982,,,
758,North Lee Highway,,,Lexington,VA,24450,37.7956179,-79.42151338,,,
1,River Place,,,Lexington,VA,24450,37.79562084,-79.43501015,,,
68,Five Dog Lane,,,Lexington,VA,24450,37.79562205,-79.52715867,,,
719,North Lee Highway,,,Lexington,VA,24450,37.79562898,-79.42423846,,,
14,Osage Lane,,,Lexington,VA,24450,37.79566536,-79.45580204,,,
756,North Lee Highway,,,Lexington,VA,24450,37.79567093,-79.42160399,,,
25,Crossing Lane,,2,Lexington,VA,24450,37.79568931,-79.42517846,,,
56,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79571068,-79.43118709,,,
25,Crossing Lane,,1,Lexington,VA,24450,37.79571944,-79.42527328,,,
975,Borden Road,,,Lexington,VA,24450,37.79573838,-79.46719691,,,
754,North Lee Highway,,,Lexington,VA,24450,37.79574833,-79.4217191,,,
54,Hunter Hill Extension Road,,,Lexington,VA,24450,37.79575368,-79.43118472,,,
1476,Turnpike Road,,,Lexington,VA,24450,37.79576328,-79.53668395,,,
8,High Meadow Drive,,,Lexington,VA,24450,37.79578349,-79.4337244,,,
2,River Place,,,Lexington,VA,24450,37.79578556,-79.43581486,,,
752,North Lee Highway,,,Lexington,VA,24450,37.79581594,-79.42181086,,,
339,Sugar Creek Road,,,Lexington,VA,24450,37.79581962,-79.54844388,,,
185,Hunter Hill Road,,,Lexington,VA,24450,37.79582495,-79.43015161,,,
120,Shaner Hill Drive,,,Lexington,VA,24450,37.79585951,-79.43277386,,,
750,North Lee Highway,,,Lexington,VA,24450,37.79587589,-79.42190059,,,
12,Bell Road,,,Lexington,VA,24450,37.79587637,-79.45755603,,,
172,West Midland Trail,,A,Lexington,VA,24450,37.795913,-79.45657514,,,
626,Greenhouse Road,,,Lexington,VA,24450,37.79595568,-79.43178275,,,
385,Forest Grove Road,,,Lexington,VA,24450,37.79596214,-79.38446008,,,
30,Crossing Lane,,112,Lexington,VA,24450,37.79596892,-79.42473596,,,
10,High Meadow Drive,,,Lexington,VA,24450,37.7959854,-79.43414683,,,
172,West Midland Trail,,B,Lexington,VA,24450,37.79598557,-79.45654002,,,
30,Crossing Lane,,111,Lexington,VA,24450,37.79599283,-79.42480557,,,
30,Crossing Lane,,212,Lexington,VA,24450,37.79600119,-79.42471325,,,
30,Crossing Lane,,110,Lexington,VA,24450,37.79601524,-79.42487131,,,
507,Turnpike Road,,,Lexington,VA,24450,37.79602518,-79.5080081,,,
30,Crossing Lane,,211,Lexington,VA,24450,37.79602653,-79.42479443,,,
37,Five Dog Lane,,,Lexington,VA,24450,37.79603064,-79.52967572,,,
744,North Lee Highway,,,Lexington,VA,24450,37.79603459,-79.42222274,,,
30,Crossing Lane,,109,Lexington,VA,24450,37.79603616,-79.42493126,,,
30,Crossing Lane,,210,Lexington,VA,24450,37.79605355,-79.42485638,,,
30,Crossing Lane,,108,Lexington,VA,24450,37.79605705,-79.42499505,,,
172,West Midland Trail,,C,Lexington,VA,24450,37.79605988,-79.45650628,,,
30,Crossing Lane,,209,Lexington,VA,24450,37.79607601,-79.42491442,,,
30,Crossing Lane,,107,Lexington,VA,24450,37.79607802,-79.42504922,,,
322,Furrs Mill Road,,,Lexington,VA,24450,37.79608371,-79.43732803,,,
770,North Lee Highway,,,Lexington,VA,24450,37.79608488,-79.41989203,,,
60,Club House Drive,,,Lexington,VA,24450,37.79609142,-79.40815025,,,
30,Crossing Lane,,208,Lexington,VA,24450,37.79610601,-79.42498603,,,
30,Crossing Lane,,106,Lexington,VA,24450,37.79610625,-79.42515162,,,
116,Hunter Hill Road,,,Lexington,VA,24450,37.79611489,-79.42837015,,,
30,Crossing Lane,,207,Lexington,VA,24450,37.79612243,-79.42503629,,,
30,Crossing Lane,,105,Lexington,VA,24450,37.79613032,-79.42520005,,,
729,North Lee Highway,,,Lexington,VA,24450,37.7961339,-79.42343174,,,
30,Crossing Lane,,104,Lexington,VA,24450,37.79614515,-79.425258,,,
723,North Lee Highway,,,Lexington,VA,24450,37.79615084,-79.42364304,,,
30,Crossing Lane,,206,Lexington,VA,24450,37.79615225,-79.42513101,,,
622,Greenhouse Road,,,Lexington,VA,24450,37.79616408,-79.43180893,,,
721,North Lee Highway,,,Lexington,VA,24450,37.79616833,-79.4236698,,,
30,Crossing Lane,,205,Lexington,VA,24450,37.79617169,-79.42518516,,,
30,Crossing Lane,,103,Lexington,VA,24450,37.79617207,-79.42533342,,,
30,Crossing Lane,,204,Lexington,VA,24450,37.79618959,-79.42524122,,,
30,Crossing Lane,,102,Lexington,VA,24450,37.79619898,-79.42540884,,,
12,High Meadow Drive,,,Lexington,VA,24450,37.79620063,-79.43448625,,,
30,Crossing Lane,,203,Lexington,VA,24450,37.79621649,-79.42531857,,,
30,Crossing Lane,,101,Lexington,VA,24450,37.79622742,-79.42548429,,,
30,Crossing Lane,,202,Lexington,VA,24450,37.79624648,-79.4253921,,,
9,High Meadow Drive,,,Lexington,VA,24450,37.79625541,-79.43617904,,,
30,Crossing Lane,,201,Lexington,VA,24450,37.79627185,-79.42546943,,,
780,North Lee Highway,,,Lexington,VA,24450,37.79628714,-79.42014022,,,
613,Greenhouse Road,,,Lexington,VA,24450,37.79631494,-79.43129194,,,
782,North Lee Highway,,,Lexington,VA,24450,37.79633526,-79.42017177,,,
37,Turnpike Road,,,Lexington,VA,24450,37.79636111,-79.49657149,,,
502,Bird Forest Road,,,Lexington,VA,24450,37.79636968,-79.56478658,,,
14,High Meadow Drive,,,Lexington,VA,24450,37.79638042,-79.43492908,,,
10,Bell Road,,,Lexington,VA,24450,37.79640085,-79.45882151,,,
784,North Lee Highway,,,Lexington,VA,24450,37.79640709,-79.42021328,,,
176,West Midland Trail,,A,Lexington,VA,24450,37.79642543,-79.45685436,,,
221,Hunter Hill Road,,,Lexington,VA,24450,37.79643352,-79.43093568,,,
1460,Enfield Road,,,Lexington,VA,24450,37.79644108,-79.49026539,,,
176,West Midland Trail,,B,Lexington,VA,24450,37.79644179,-79.45695454,,,
786,North Lee Highway,,,Lexington,VA,24450,37.79645668,-79.42025258,,,
30,River Hill Place,,,Lexington,VA,24450,37.79646489,-79.43411437,,,
25,River Hill Place,,,Lexington,VA,24450,37.7965038,-79.43326505,,,
788,North Lee Highway,,,Lexington,VA,24450,37.79651324,-79.4202852,,,
273,Lincoln Road,,,Lexington,VA,24450,37.79654522,-79.41032509,,,
16,High Meadow Drive,,,Lexington,VA,24450,37.7965753,-79.43531505,,,
968,Borden Road,,,Lexington,VA,24450,37.79657604,-79.46695743,,,
1152,Hayslette Road,,,Lexington,VA,24450,37.79657936,-79.63078269,,,
11,High Meadow Drive,,,Lexington,VA,24450,37.79660294,-79.43669158,,,
599,Greenhouse Road,,,Lexington,VA,24450,37.7966243,-79.43133482,,,
790A,North Lee Highway,,A,Lexington,VA,24450,37.79664837,-79.42038889,,,
211,Lincoln Road,,,Lexington,VA,24450,37.79666722,-79.41163489,,,
790,North Lee Highway,,,Lexington,VA,24450,37.79667806,-79.42041202,,,
281,Lincoln Road,,,Lexington,VA,24450,37.79670446,-79.41020598,,,
18,High Meadow Drive,,,Lexington,VA,24450,37.79671376,-79.43571431,,,
20,River Hill Place,,,Lexington,VA,24450,37.79675149,-79.43389075,,,
1339,Hayslette Road,,,Lexington,VA,24450,37.79683479,-79.62675288,,,
126,West Midland Trail,,,Lexington,VA,24450,37.79684991,-79.45394412,,,
600,Greenhouse Road,,,Lexington,VA,24450,37.79685991,-79.43166378,,,
289,Lincoln Road,,,Lexington,VA,24450,37.79689668,-79.41005264,,,
12,River Hill Place,,,Lexington,VA,24450,37.79696065,-79.43366345,,,
380,Sugar Creek Road,,,Lexington,VA,24450,37.79696093,-79.54736701,,,
800,North Lee Highway,,,Lexington,VA,24450,37.7970011,-79.42062687,,,
125,Falcon Lane,,A,Lexington,VA,24450,37.7970189,-79.42893486,,,
41,Keydet Lane,,,Lexington,VA,24450,37.79705282,-79.45961706,,,
257,West Midland Trail,,,Lexington,VA,24450,37.79705908,-79.4580886,,,
125,Falcon Lane,,B,Lexington,VA,24450,37.79713369,-79.4289289,,,
57,Five Dog Lane,,,Lexington,VA,24450,37.79715381,-79.52830944,,,
45,Lone Star Lane,,,Lexington,VA,24450,37.79715581,-79.45662333,,,
38,Falcon Lane,,,Lexington,VA,24450,37.7971743,-79.42975626,,,
275,Turnpike Road,,,Lexington,VA,24450,37.79719958,-79.50330869,,,
3857,Turnpike Road,,,Lexington,VA,24450,37.79720235,-79.6078051,,,
20,High Meadow Drive,,,Lexington,VA,24450,37.79724251,-79.43573054,,,
40,Garden Place,,,Lexington,VA,24450,37.79725953,-79.43500316,,,
3838,Turnpike Road,,,Lexington,VA,24450,37.7972997,-79.60713239,,,
25,Garden Place,,,Lexington,VA,24450,37.79731614,-79.4341511,,,
50,Orchard Trace Drive,,,Lexington,VA,24450,37.79732145,-79.4740701,,,
11,Geranium Lane,,,Lexington,VA,24450,37.79733653,-79.4325768,,,
1206,Hayslette Road,,,Lexington,VA,24450,37.79735278,-79.63057065,,,
880,North Lee Highway,,,Lexington,VA,24450,37.79736211,-79.41868465,,,
462,Sehorn Hollow Road,,,Lexington,VA,24450,37.79737791,-79.58800277,,,
15,High Meadow Drive,,,Lexington,VA,24450,37.79738537,-79.43669326,,,
1518,Enfield Road,,,Lexington,VA,24450,37.79741905,-79.49183026,,,
75,Shaner Hill Drive,,,Lexington,VA,24450,37.7974282,-79.43293411,,,
23,Geranium Lane,,,Lexington,VA,24450,37.79746752,-79.43233929,,,
1016,Borden Road,,,Lexington,VA,24450,37.79747286,-79.46856735,,,
22,High Meadow Drive,,,Lexington,VA,24450,37.79753536,-79.4355972,,,
571,Greenhouse Road,,,Lexington,VA,24450,37.79753621,-79.43135831,,,
30,Garden Place,,,Lexington,VA,24450,37.79754687,-79.43477287,,,
3919,Turnpike Road,,,Lexington,VA,24450,37.79755049,-79.61047942,,,
35,Lone Star Lane,,,Lexington,VA,24450,37.79765856,-79.4571924,,,
17,High Meadow Drive,,,Lexington,VA,24450,37.79766994,-79.43642273,,,
3937,Turnpike Road,,,Lexington,VA,24450,37.79768029,-79.61101994,,,
60,Shaner Hill Drive,,,Lexington,VA,24450,37.79768709,-79.43385841,,,
99,Falcon Lane,,,Lexington,VA,24450,37.79769929,-79.42894092,,,
315,Lincoln Road,,,Lexington,VA,24450,37.79770339,-79.40988321,,,
14,Geranium Lane,,,Lexington,VA,24450,37.79772402,-79.43186218,,,
325,West Midland Trail,,,Lexington,VA,24450,37.79773787,-79.46032933,,,
14,Shepherd Drive,,,Lexington,VA,24450,37.79775867,-79.46942996,,,
105,District Court,,,Lexington,VA,24450,37.79780555,-79.54966487,,,
212,Buckland Drive,,,Lexington,VA,24450,37.79781115,-79.46458404,,,
20,Garden Place,,,Lexington,VA,24450,37.79781152,-79.43449586,,,
850,North Lee Highway,,,Lexington,VA,24450,37.79789384,-79.42003226,,,
82,Falcon Lane,,,Lexington,VA,24450,37.79794659,-79.42957416,,,
14,Keydet Lane,,,Lexington,VA,24450,37.7979499,-79.45930167,,,
589,Bird Forest Road,,,Lexington,VA,24450,37.79800099,-79.56652013,,,
99,Econo Lane,,,Lexington,VA,24450,37.79800771,-79.41457773,,,
19,High Meadow Drive,,,Lexington,VA,24450,37.79801857,-79.4361142,,,
22,Geranium Lane,,,Lexington,VA,24450,37.7980322,-79.43218592,,,
625,Beatty Hollow,,,Lexington,VA,24450,37.79804582,-79.48841602,,,
55,Shaner Hill Drive,,,Lexington,VA,24450,37.79805581,-79.43324644,,,
870,North Lee Highway,,,Lexington,VA,24450,37.79806823,-79.41951782,,,
24,High Meadow Drive,,,Lexington,VA,24450,37.79808648,-79.43509971,,,
