addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme,website
929,Maury River Road,,,Lexington,VA,24450,37.82039001,-79.42085062,,,
36,Bre Hill Drive,,,Lexington,VA,24450,37.82044355,-79.4537218,,,
927,Cold Run Drive,,,Lexington,VA,24450,37.82051476,-79.47663121,,,
647,Honey Hollow Road,,,Lexington,VA,24450,37.82058165,-79.61549561,,,
815,Cold Run Drive,,,Lexington,VA,24450,37.82058225,-79.47240467,,,
355,House Mountain Road,,,Lexington,VA,24450,37.82059099,-79.53115585,,,
1531,West Midland Trail,,,Lexington,VA,24450,37.82060558,-79.49329789,,,
350,Primrose Lane,,,Lexington,VA,24450,37.82063673,-79.42555483,,,
113,Little Cedar Lane,,,Lexington,VA,24450,37.8206753,-79.39668446,,,
335,House Mountain Road,,,Lexington,VA,24450,37.82070031,-79.53052323,,,
1080,Maury River Road,,,Lexington,VA,24450,37.82071497,-79.41236997,,,
56,Westover Hill Lane,,,Lexington,VA,24450,37.82074121,-79.40077827,,,
1533,West Midland Trail,,,Lexington,VA,24450,37.82075928,-79.49347683,,,
990,Maury River Road,,,Lexington,VA,24450,37.82080764,-79.41747075,,,
720,Valley Pike,,,Lexington,VA,24450,37.82094026,-79.39926479,,,
35,Two Sons Lane,,,Lexington,VA,24450,37.82102471,-79.38863777,,,
321,Tucker Kerr Lane,,,Lexington,VA,24450,37.82108091,-79.50490497,,,
728,Valley Pike,,,Lexington,VA,24450,37.82116071,-79.39908322,,,
123,Westover Hill Lane,,,Lexington,VA,24450,37.82121557,-79.40368773,,,
842,Cold Run Drive,,,Lexington,VA,24450,37.8212355,-79.47364029,,,
60,Skyhigh Court,,,Lexington,VA,24450,37.82129086,-79.40173432,,,
104,Meadowview Drive,,,Lexington,VA,24450,37.82129535,-79.39564239,,,
1018,Maury River Road,,,Lexington,VA,24450,37.82135804,-79.41718575,,,
738,Valley Pike,,,Lexington,VA,24450,37.82139149,-79.39891278,,,
85,Bre Hill Drive,,,Lexington,VA,24450,37.82145188,-79.45326272,,,
19,Tucker Kerr Lane,,,Lexington,VA,24450,37.82148186,-79.49558512,,,
380,House Mountain Road,,,Lexington,VA,24450,37.82151024,-79.5323582,,,
7,Patrick Drive,,,Lexington,VA,24450,37.8215134,-79.39966722,,,
2021,North Lee Highway,,,Lexington,VA,24450,37.82153297,-79.39072315,,,
2034,North Lee Highway,,,Lexington,VA,24450,37.82153418,-79.38944226,,,
47,Little Cedar Lane,,,Lexington,VA,24450,37.82157107,-79.3963473,,,
359,Big Spring Drive,,,Lexington,VA,24450,37.82157235,-79.4453859,,,
87,Higgins Hollow,,,Lexington,VA,24450,37.82157425,-79.51671547,,,
114,Meadowview Drive,,,Lexington,VA,24450,37.82157895,-79.39495876,,,
971,Maury River Road,,,Lexington,VA,24450,37.82158854,-79.41963062,,,
748,Valley Pike,,A,Lexington,VA,24450,37.82168589,-79.3987692,,,
748,Valley Pike,,B,Lexington,VA,24450,37.82174357,-79.3987449,,,
290,Tom Alphin Road,,,Lexington,VA,24450,37.82177113,-79.58274407,,,
395,Hollow Rock Road,,,Lexington,VA,24450,37.82177359,-79.45740469,,,
100,Meadowview Drive,,,Lexington,VA,24450,37.82179224,-79.39589099,,,
37,Little Cedar Lane,,,Lexington,VA,24450,37.82182989,-79.39669156,,,
390,House Mountain Road,,,Lexington,VA,24450,37.82185547,-79.53359997,,,
1421,Still House Drive,,,Lexington,VA,24450,37.82185706,-79.51345272,,,
336,Hollow Rock Road,,,Lexington,VA,24450,37.82185777,-79.4540394,,,
19,Patrick Drive,,,Lexington,VA,24450,37.82187784,-79.39986253,,,
749,Valley Pike,,,Lexington,VA,24450,37.82193854,-79.39926337,,,
1315,Still House Drive,,,Lexington,VA,24450,37.82198986,-79.51051193,,,
117,Meadowview Drive,,,Lexington,VA,24450,37.82201196,-79.3952028,,,
2050,North Lee Highway,,,Lexington,VA,24450,37.82203559,-79.38921689,,,
692,Honey Hollow Road,,,Lexington,VA,24450,37.82204587,-79.61412205,,,
94,Meadowview Drive,,,Lexington,VA,24450,37.82206246,-79.39584874,,,
731,Cold Run Drive,,,Lexington,VA,24450,37.82209641,-79.47121676,,,
29,Gould Lane,,,Lexington,VA,24450,37.82209996,-79.45652923,,,
245,Ebenezer Circle,,,Lexington,VA,24450,37.82211493,-79.48957466,,,
58,Higgins Hollow,,,Lexington,VA,24450,37.82213015,-79.51519246,,,
1021,Maury River Road,,,Lexington,VA,24450,37.82214711,-79.41827203,,,
27,Little Cedar Lane,,,Lexington,VA,24450,37.82219517,-79.3966333,,,
33,Patrick Drive,,,Lexington,VA,24450,37.82221249,-79.40011803,,,
111,Higgins Hollow,,,Lexington,VA,24450,37.82224193,-79.5244984,,,
765,Valley Pike,,,Lexington,VA,24450,37.82224748,-79.39900299,,,
